year,industry,industry_label,stable_share,accession_rate,separation_rate,churn_rate,stable_hire_share
2005,00,Total Private,0.8630651816265291,0.22016714155056227,0.21485039951697993,0.2175087705337711,0.41958840985081164
2005,56,Admin & Support (56),0.7371518974862481,0.5149632330070694,0.5030707345315062,0.5090169837692878,0.2741920287202436
2005,561320,Temp Help Services,0.5785548894090525,0.9070161659848157,0.890839388408071,0.8989277771964433,0.20946927503796176
2006,00,Total Private,0.8615640162012039,0.22042871540957915,0.2165746434935702,0.21850167945157467,0.4184656009462502
2006,56,Admin & Support (56),0.7381622411627332,0.4975455094415502,0.49498474304318185,0.496265126242366,0.2814327927249481
2006,561320,Temp Help Services,0.5809075455218659,0.869900270645077,0.8734130541118625,0.8716566623784698,0.21411616509146497
2007,00,Total Private,0.8632050361591446,0.21456557763508904,0.2128452079599471,0.21370539279751807,0.4222197117313217
2007,56,Admin & Support (56),0.7433284737997811,0.48063558699539066,0.4803862754061216,0.4805109312007561,0.2826262099932263
2007,561320,Temp Help Services,0.5849189966308794,0.8557964903008596,0.8640536589050419,0.8599250746029508,0.21242025831368982
2008,00,Total Private,0.8675846324613068,0.19069890403110107,0.19923564559942689,0.19496727481526396,0.44813417972427705
2008,56,Admin & Support (56),0.75440285846572,0.4212068545500215,0.4438599614689829,0.4325334080095022,0.3063837808785045
2008,561320,Temp Help Services,0.5924894434846607,0.767780519678025,0.8261341460701175,0.7969573328740712,0.2272379023349167
2009,00,Total Private,0.8844703867947544,0.1574452769864798,0.168945711552738,0.1631954942696089,0.46754604865932214
2009,56,Admin & Support (56),0.795430096716509,0.342348681856333,0.3513005092017094,0.3468245955290212,0.3379900013872702
2009,561320,Temp Help Services,0.6516916819917458,0.6648990458641731,0.6731851989669064,0.6690421224155397,0.25221918042521424
2010,00,Total Private,0.8890182122796867,0.168141017480833,0.1644165677534047,0.16627879261711886,0.4654662258508151
2010,56,Admin & Support (56),0.79469188990909,0.3730388278905301,0.357949565061242,0.36549419647588605,0.33760605912794245
2010,561320,Temp Help Services,0.652184707886523,0.7017395387574641,0.6636321548407262,0.6826858467990952,0.27023848537175477
